id,name,parent_id
345,"Preserving & Freezing",344
346,Relationships,239
347,Self-Esteem,239
348,"Quick & Easy Cooking",344
349,"Cookery By Ingredient",344
350,Sport,177
351,"Ball Games",350
352,Baseball,351
353,Language,194
354,"Energy Technology & Engineering",266
355,"Vintage Crime",213
356,"Korean Books",177
357,"Korean Literature",356
358,"Cookery Dishes & Courses",344
359,"Cakes, Baking, Icing & Sugarcraft",358
360,Photography,218
361,"Photographs: Collections",360
362,"Language Learning: Specific Skills",278
363,"Memory Improvement & Thinking Techniques",182
364,"Industrial Chemistry & Manufacturing Technologies",266
365,"Biography: Science, Technology & Engineering",236
366,"Psychic Powers & Psychic Phenomena",188
367,"Practical Interests",209
368,"Domestic Animals & Pets",258
369,"Dogs As Pets",368
370,"Electronics & Communications Engineering",266
371,"Electronics Engineering",370
372,Family,197
373,Entertainment,177
374,"Films, Cinema",373
375,"Film Guides & Reviews",374
376,"Regional & National History",273
377,"History Of The Americas",376
378,Mathematics,206
379,"Probability & Statistics",378
380,"Earth Sciences, Geography, Environment, Planning",206
381,Environment,380
382,"Family Issues",239
383,"Interdisciplinary Studies",215
384,"Communication Studies",383
385,"International Economics",223
386,"Coping With Death & Bereavement",250
387,"French books",193
388,"Learning French Books",177
389,"Ownership & Organization Of Enterprises",200
390,"Health & Wholefood Cookery",344
391,"Non - Fiction",194
392,"Mathematics & Numeracy",255
393,"Interior Design, Decor & Style Guides",332
394,"True Stories",211
395,"True Crime",394
396,"Business Strategy",200
397,Technology,255
398,"Office & Workplace",200
399,Linguistics,178
400,"Historical & Comparative Linguistics",399
401,"Culture & Travel",194
402,Beverages,344
403,"Non-alcoholic Beverages",402
404,"Personal Finance",181
405,"Children's Stationery",196
406,"Plays, Playscripts",238
407,"Shakespeare Plays",406
408,"Transport Technology & Trades",266
409,"Aerospace & Aviation Technology",408
410,"Coping With Anxiety & Phobias",250
411,"Politics & Government",216
412,Stationery,194
413,"Pregnancy, Birth & Baby Care",288
414,"Religion & Beliefs",209
415,Entrepreneurship,200
416,"National & Regional Cuisine",344
417,Medical,177
418,"Clinical & Internal Medicine",417
419,Dermatology,418
420,"Sociology & Anthropology",216
421,"Jokes & Humour",209
422,"Needlework & Fabric Crafts",314
423,"Cookery For Dietary Conditions",390
424,Historical,197
425,"Poetry By Individual Poets",322
426,"Buddhist Life & Practice",253
427,"Life Sciences: General Issues",297
428,"Reading Books",177
429,Art,209
430,"Microbiology (non-medical)",297
431,"Foreign Languages",300
432,Law,199
433,Jurisprudence,432
434,"Health, Family & Lifestyle",194
435,Desserts,358
436,Psychology,216
437,"Miscellaneous Items",412
438,"General Cookery",344
439,"Asian History",376
440,"Literature: History & Criticism",238
441,Atlases,225
442,"Energy Industries & Utilities",328
443,"Biography: Sport",236
444,"Pre-School & Kindergarten",301
445,"Astronomy, Space & Time",206
446,"Cosmology & The Universe",445
447,"International Business",200
448,"ELT: English For Travel & Communications",263
449,Medicine,417
450,"Public Health & Preventive Medicine",449
451,"Alternative Belief Systems",252
452,"Eclectic & Esoteric Religions & Belief Systems",451
453,"History: Specific Events & Topics",273
454,"Genocide & Ethnic Cleansing",453
455,Computing,177
456,Databases,455
457,"Data Capture & Analysis",456
458,"Art & Design",255
459,"Organizational Theory & Behaviour",200
460,"Historical Crime",213
461,"Diets & Dieting",317
462,"Biography: Literary",236
463,"Christian Spirituality & Religious Experience",334
464,"Language Phrasebooks",178
465,"Sports Stories",197
466,"Laws Of Specific Jurisdictions",432
467,"Bilingual & Multilingual Dictionaries",184
468,"Digital Lifestyle",455
469,"Internet Guides & Online Services",468
470,"African History",376
471,Finance,336
472,"Earth: Natural History General",258
473,"Labour Economics",223
474,"Painting & Art Manuals",314
475,Music,218
476,"Industrial - Commercial Art & Design",218
477,"Illustration & Commercial Art",476
478,"Popular Medicine & Health",249
479,"Encyclopaedias & Reference Works",225
480,"Reference Works",479
481,"Communications Engineering - Telecommunications",370
482,"Toys: Making & Decorating",314
483,"Political Economy",223
484,"Other Branches Of Medicine",417
485,"Therapy & Therapeutics",484
486,"Teaching Of A Specific Subject",292
487,"Computing: General",455
488,"Ethical & Social Aspects Of Computing",487
489,"Film Scripts & Screenplays",374
490,"General & World History",273
491,"Popular Science",244
492,"Computer Programming - Software Development",455
493,"Games Development & Programming",492
494,"Political & Legal",229
495,"Myth & Legend Told As Fiction",185
496,"Service Industries",328
497,"History Of Engineering & Technology",293
498,General,197
499,"Knitting & Crochet",422
500,"Computer Science",455
501,"Coping With Old Age",250
502,"Family & Relationships",249
503,"Dating, Relationships, Living Together & Marriage",502
504,"Zoology & Animal Sciences",297
505,Anthologies,321
506,"Public Speaking Guides",178
507,"Sản Phẩm Hội Sách",NULL
508,"Cooking For-with Children",344
509,"Travel & Holiday Guides",177
510,Guidebooks,509
511,"Hotel & Holiday Accommodation Guides",510
